Major City	Class	Level	Name	XP	Gil	Type	Location	Area	Quantity	Item	Notes
Ul'dah	Goldsmith	10	Point of Honor	4057	138	Field	Horizon	Western Thanalan	1	Amateur's Needle	
Ul'dah	Goldsmith	10	Gorgeous Gorget	3872	244	Field	Horizon	Western Thanalan	1	Brass Gorget	
Ul'dah	Goldsmith	15	Brothers in Arms	4057	184	Town			1	Brass Wristlets of Crafting	
Ul'dah	Goldsmith	15	Forever 21K	6109	130	Town			1	Brass Ring	
Ul'dah	Goldsmith	15	Bad to the Bone	6573	406	Courier	Camp Drybone	Eastern Thanalan	1	2685	
Ul'dah	Goldsmith	15	Sharp Words	4057	170	Field	Camp Drybone	Eastern Thanalan	1	Bat Fang Needle	
Ul'dah	Goldsmith	15	Bad Guys Eat Brass	6109	134	Field	Camp Drybone	Eastern Thanalan	1	Brass Ring of Crafting	
Ul'dah	Goldsmith	20	King for a Day	7331	360	Town			3	Decorated Copper Scepter	triple
Ul'dah	Goldsmith	20	Perk of Fiction	6373	220	Town			1	Coral Ring	
Ul'dah	Goldsmith	20	You Burnt It, You Bought It	10289	170	Courier	Quarrymill		1	Wind Brand	
Ul'dah	Goldsmith	20	Dog Tags Are for Dogs	7331	259	Field	Quarrymill	South Shroud	3	Brass Ring	triple
Ul'dah	Goldsmith	20	Music to Their Ears	6373	255	Field	Quarrymill	South Shroud	1	Brass Ear Cuffs	
Ul'dah	Goldsmith	25	All Booked Up	11115	680	Town			3	Silver Magnifiers	triple
Ul'dah	Goldsmith	25	Love in the Time of Umbra	9885	270	Town			1	Silver Ring	
Ul'dah	Goldsmith	25	Thaumaturge is Magic	16550	227	Courier	Quarrymill		1	Fluorite Ring	
Ul'dah	Goldsmith	25	Dancing with the Stars	11115	640	Field	Quarrymill	South Shroud	3	Toothed Staghorn Staff	triple
Ul'dah	Goldsmith	25	Necklet of Champions	9885	271	Field	Quarrymill	South Shroud	1	Horn Necklace	
Ul'dah	Goldsmith	30	A Little Bird Told Me	17670	359	Town			3	Malachite Bracelet	triple
Ul'dah	Goldsmith	30	One Man's Trash	15141	448	Town			1	Horn Ring	
Ul'dah	Goldsmith	30	He Has His Quartz	23912	394	Courier	Costa del Sol	Eastern La Noscea	1	2737	
Ul'dah	Goldsmith	30	Get the Green Stuff	17670	362	Field	Costa del Sol	Eastern La Noscea	3	Malachite Earrings	triple
Ul'dah	Goldsmith	30	It's Only Love	15141	425	Field	Costa del Sol	Eastern La Noscea	1	Silver Choker	
Ul'dah	Goldsmith	35	Burning the Midnight Oil	23940	349	Town			3	Fire Brand	triple
Ul'dah	Goldsmith	35	Lode It Up	20517	443	Town			1	Mythril Ring	
Ul'dah	Goldsmith	35	Actually, It's Loyalty	32396	478	Courier	Observatorium	Coerthas	1	Aquamarine Bracelet	
Ul'dah	Goldsmith	35	Faith and Fashion	23940	416	Field	Observatorium	Coerthas	3	Mythril Earrings	triple
Ul'dah	Goldsmith	35	Dead Can't Defang	20517	390	Field	Observatorium	Coerthas	1	Wolf Necklace	
Ul'dah	Goldsmith	40	It's My Business to Know Things	32049	538	Town			3	Red Coral Armillae	triple
Ul'dah	Goldsmith	40	When We Were Blings	27107	420	Town			1	Mythril Ear Cuffs	
Ul'dah	Goldsmith	40	Coral on My Mind	41831	415	Courier	Whitebrim	Coerthas	1	Red Coral Ring	
Ul'dah	Goldsmith	40	If You've Got It, Flaunt It	32049	688	Field	Whitebrim	Coerthas	3	Peridot Earrings	triple
Ul'dah	Goldsmith	40	Tough Job Market	27107	299	Field	Whitebrim	Coerthas	1	Horn Staff	
Ul'dah	Goldsmith	45	The Big Red	39087	601	Town			3	Red Coral Necklace	triple
Ul'dah	Goldsmith	45	Gold Is So Last Year	33573	629	Town			1	2876	
Ul'dah	Goldsmith	45	Green and Bear It	53280	584	Courier	Saint Coinach's Find	Mor Dhona	1	Tourmaline Choker	
Ul'dah	Goldsmith	45	Light in the Darkness	39087	872	Field	Saint Coinach's Find	Mor Dhona	3	Amber Choker	triple
Ul'dah	Goldsmith	45	Sweet Charity	34552	508	Field	Saint Coinach's Find	Mor Dhona	1	Amber Ring	
Ul'dah	Weaver	1	The Unmentionables	292	95	Town			1	Hempen Underpants	
Ul'dah	Weaver	1	Trew Enough	885	97	Town			1	Hempen Chausses	
Ul'dah	Weaver	1	Hire in the Blood	292	97	Field	Scorpion Crossing	Western Thanalan	1	Hempen Halfgloves	
Ul'dah	Weaver	1	Burn Me Up	885	100	Field	Scorpion Crossing	Western Thanalan	1	Hempen Cowl	
Ul'dah	Weaver	5	The Adventurer's New Coat	1053	112	Town			1	Hempen Tabard	
Ul'dah	Weaver	5	A Taste for Dalmaticae	2022	113	Town			1	Amateur's Dalmatica	
Ul'dah	Weaver	5	Just for Kecks	1715	136	Courier	Scorpion Crossing	Western Thanalan	1	Hempen Kecks	
Ul'dah	Weaver	5	Wiggle Room	1053	115	Field	Scorpion Crossing	Western Thanalan	1	Hempen Shepherd's Tunic	
Ul'dah	Weaver	5	This Is Why You Can't Have Nice Things	2022	116	Field	Scorpion Crossing	Western Thanalan	1	Amateur's Breeches	
Ul'dah	Weaver	10	Hat in Hand	2230	139	Town			1	Straw Hat	
Ul'dah	Weaver	10	Workplace Safety	3872	240	Town			1	Cotton Scarf	
Ul'dah	Weaver	10	Keep It Under Wraps	3849	219	Courier	Horizon	Western Thanalan	1	Cotton Turban	
Ul'dah	Weaver	10	Making Gloves Out of Nothing at All	2230	131	Field	Horizon	Western Thanalan	1	Hempen Bracers	
Ul'dah	Weaver	10	Welcome to the Cotton Club	3872	132	Field	Horizon	Western Thanalan	1	Cotton Halfgloves	
Ul'dah	Weaver	15	Read the Fine Print	4057	184	Town			1	Cotton Shepherd's Tunic	
Ul'dah	Weaver	15	Don't Trew So Hard	6109	183	Town			1	Initiate's Slops	
Ul'dah	Weaver	15	Better Shroud than Sorry	6573	230	Courier	Camp Drybone	Eastern Thanalan	1	Cotton Kurta	
Ul'dah	Weaver	15	Pants Are Not Enough	4057	180	Field	Camp Drybone	Eastern Thanalan	1	Padded Hempen Trousers	
Ul'dah	Weaver	15	Touch Me If You Can	6109	204	Field	Camp Drybone	Eastern Thanalan	1	Cotton Work Gloves	
Ul'dah	Weaver	20	Hitting Below the Belt	5427	173	Town			3	Cotton Breeches of Crafting	triple
Ul'dah	Weaver	20	Don't Sash Me	6373	262	Town			1	Cotton Sash	
Ul'dah	Weaver	20	Doublet Jeopardy	10289	314	Courier	Quarrymill	South Shroud	1	Cotton Doublet Vest of Gathering	
Ul'dah	Weaver	20	The Telltale Tress	5427	272	Field	Quarrymill	South Shroud	3	Cotton Coif of Gathering	triple
Ul'dah	Weaver	20	Getting Handsy	6373	264	Field	Quarrymill	South Shroud	1	Cotton Dress Gloves	
Ul'dah	Weaver	25	He's Got Legs	11115	479	Town			3	Velveteen Sarouel	triple
Ul'dah	Weaver	25	Piling It On	9885	264	Town			1	Velveteen Shirt	
Ul'dah	Weaver	25	I'll Be Your Wailer Today	16550	211	Courier	Quarrymill	South Shroud	1	Velveteen Wedge Cap of Gathering	
Ul'dah	Weaver	25	Bet You Anything	11115	488	Field	Quarrymill	South Shroud	3	Velveteen Sarouel of Gathering	triple
Ul'dah	Weaver	25	Pantser Corps	6109	247	Field	Quarrymill	South Shroud	1	Initiate's Slops	
Ul'dah	Weaver	30	Our Man in Ul'Dah	17670	326	Town			3	Velveteen Work Gloves	triple
Ul'dah	Weaver	30	By the Short Hairs	15141	362	Town			1	Velveteen Robe	
Ul'dah	Weaver	30	By the Seat of the Pants	23912	410	Courier	Costa del Sol	Eastern La Noscea	1	Linen Chausses	
Ul'dah	Weaver	30	Walk Softly and Carry a Big Halberd	17670	334	Field	Costa del Sol	Eastern La Noscea	3	Velveteen Dress Shoes	triple
Ul'dah	Weaver	30	Put on Your Party Pants	15141	303	Field	Costa del Sol	Eastern La Noscea	1	Velveteen Gaskins	
Ul'dah	Weaver	35	Crunching the Numbers	23940	529	Town			3	Linen Hat	triple
Ul'dah	Weaver	35	Private Concerns	20518	401	Town			1	Linen Trousers	
Ul'dah	Weaver	35	Edmelle's Hair	32396	453	Courier	Observatorium	Coerthas	1	Linen Wedge Cap of Gathering	
Ul'dah	Weaver	35	A Leg Up on the Cold	23940	484	Field	Observatorium	Coerthas	3	Linen Tights	triple
Ul'dah	Weaver	35	In over Your Head	20517	427	Field	Observatorium	Coerthas	1	Linen Cowl	
Ul'dah	Weaver	40	Party Animals	32049	486	Town			3	Linen Deerstalker	triple
Ul'dah	Weaver	40	After the Smock-down	27107	391	Town			1	Linen Smock	
Ul'dah	Weaver	40	Cool to Be Southern	41831	479	Courier	Whitebrim	Coerthas	1	Woolen Kecks	
Ul'dah	Weaver	40	A Matter of Import	32049	608	Field	Whitebrim	Coerthas	3	Woolen Hat	triple
Ul'dah	Weaver	40	No Country for Old Men	27107	408	Field	Whitebrim	Coerthas	1	Woolen Tights	
Ul'dah	Weaver	45	Seeing It Through to the End	39087	760	Town			3	Woolen Smock	triple
Ul'dah	Weaver	45	Glad As a Hatter	33573	666	Town			1	Felt Hat	
Ul'dah	Weaver	45	Full Moon Fever	51828	631	Courier	Saint Coinach's Find	Mor Dhona	1	Felt Chausses	
Ul'dah	Weaver	45	Bundle Up, It's Odd Out There	39087	727	Field	Saint Coinach's Find	Mor Dhona	3	Woolen Deerstalker	triple
Ul'dah	Weaver	45	And a Haircut Wouldn't Hurt	33573	747	Field	Saint Coinach's Find	Mor Dhona	1	Felt Robe	
Ul'dah	Alchemist	1	Mercury Rising	240	98	Town			3	Quicksilver	
Ul'dah	Alchemist	1	One for the Books	885	100	Town			1	Leather Grimoire	
Ul'dah	Alchemist	1	Met a Sticky Eng	292	93	Field	Scorpion Crossing	Western Thanalan	3	Animal Glue	
Ul'dah	Alchemist	1	Days of Chunder	885	91	Field	Scorpion Crossing	Western Thanalan	3	Antidote	
Ul'dah	Alchemist	5	On the Drip	1053	114	Town			3	Eye Drops	
Ul'dah	Alchemist	5	Distill, My Heart	240	140	Town			3	Distilled Water	
Ul'dah	Alchemist	5	A Jawbreaking Weapon of Staggering Weight	1715	242	Courier	Scorpion Crossing	Western Thanalan	1	Whispering Maple Wand	
Ul'dah	Alchemist	5	Gotta Bounce	1137	117	Field	Scorpion Crossing	Western Thanalan	3	Rubber	
Ul'dah	Alchemist	5	Don't Be So Tallow	2022	128	Field	Scorpion Crossing	Western Thanalan	3	Beeswax	
Ul'dah	Alchemist	10	Wand-full Tonight	2230	145	Town			1	Budding Maple Wand	
Ul'dah	Alchemist	10	Morning Glass of Ether	3872	130	Town			3	Ether	
Ul'dah	Alchemist	10	Using Your Arcane Powers for Fun and Profit	3849	179	Courier	Horizon	Western Thanalan	1	Ash Picatrix	
Ul'dah	Alchemist	10	One for the Road	2410	131	Field	Horizon	Western Thanalan	3	Potion	
Ul'dah	Alchemist	10	You Grow, Girl	3872	223	Field	Horizon	Western Thanalan	3	Growth Formula Beta	
Ul'dah	Alchemist	15	Shut Up and Take My	4057	204	Town			1	Ash Wand	
Ul'dah	Alchemist	15	Book and a Hard Place	6109	418	Town			1	Engraved Hard Leather Grimoire	
Ul'dah	Alchemist	15	Kiss of Life	6573	154	Courier	Camp Drybone	Eastern Thanalan	3	Potion of Vitality	
Ul'dah	Alchemist	15	There's Something About Bury	4057	211	Field	Camp Drybone	Eastern Thanalan	1	Hard Leather Grimoire	
Ul'dah	Alchemist	15	Sanity Points	6109	155	Field	Camp Drybone	Eastern Thanalan	3	Potion of Mind	
Ul'dah	Alchemist	20	Don't Forget to Take Your Meds	4860	258	Town			5	Potion of Intelligence	triple
Ul'dah	Alchemist	20	Everything Is Impossible	6373	316	Town			1	Budding Ash Wand	
Ul'dah	Alchemist	20	The Writing Is Not on the Wall	10289	409	Courier	Quarrymill	South Shroud	3	Enchanted Silver Ink	
Ul'dah	Alchemist	20	Blind Man's Bluff	5073	239	Field	Quarrymill	South Shroud	5	Potion of Dexterity	triple
Ul'dah	Alchemist	20	Dripping with Venom	6373	237	Field	Quarrymill	South Shroud	3	Weak Blinding Potion	
Ul'dah	Alchemist	25	Sophomore Slump	8505	492	Town			3	Goatskin Grimoire	triple
Ul'dah	Alchemist	25	Automata for the People	9885	281	Town			3	Crab Oil	
Ul'dah	Alchemist	25	Glazed and Confused	16550	199	Courier	Quarrymill	South Shroud	1	Clear Glass Lens	
Ul'dah	Alchemist	25	The Wailers' First Law of Potion	11115	279	Field	Quarrymill	South Shroud	5	Hi-Potion	triple
Ul'dah	Alchemist	25	Conspicuous Conjuration	10473	332	Field	Quarrymill	South Shroud	1	Whispering Ash Wand	
Ul'dah	Alchemist	30	Stuck in the Moment	17670	396	Town			5	Horn Glue	triple
Ul'dah	Alchemist	30	Riches' Brew	15141	240	Town			3	Hi-Potion of Mind	
Ul'dah	Alchemist	30	Just Give Him a Serum	23912	301	Courier	Costa del Sol	Eastern La Noscea	3	Hi-Potion of Strength	
Ul'dah	Alchemist	30	Growing Is Knowing	17670	160	Field	Costa del Sol	Eastern La Noscea	3	Growth Formula Gamma	triple
Ul'dah	Alchemist	30	Eye of the Beholder	15141	191	Field	Costa del Sol	Eastern La Noscea	3	Hi-Potion of Dexterity	
Ul'dah	Alchemist	35	Always Have an Exit Plan	23940	250	Town			5	Poisoning Potion	triple
Ul'dah	Alchemist	35	The House Always Wins	20517	146	Town			3	Blinding Potion	
Ul'dah	Alchemist	35	Alive and Unwell	32396	347	Courier	Observatorium	Coerthas	1	Budding Oak Wand	
Ul'dah	Alchemist	35	Going Nowhere Fast	23940	293	Field	Observatorium	Coerthas	5	Paralyzing Potion	triple
Ul'dah	Alchemist	35	The Sting of Conscience	20517	226	Field	Observatorium	Coerthas	3	Sleeping Potion	
Ul'dah	Alchemist	40	Your Courtesy Wake-up Call	32049	392	Town			5	Smelling Salts	triple
Ul'dah	Alchemist	40	A Bile Business	27107	383	Town			3	Shark Oil	
Ul'dah	Alchemist	40	A Patch-up Place	41831	373	Courier	Whitebrim	Coerthas	3	Mega-Potion	
Ul'dah	Alchemist	40	A Real Smooth Move	32049	533	Field	Whitebrim	Coerthas	5	Lanolin	triple
Ul'dah	Alchemist	40	Arcane Arts for Dummies	27497	434	Field	Whitebrim	Coerthas	1	Book of Mythril	
Ul'dah	Alchemist	45	A Matter of Vital Importance	40288	381	Town			3	Mega-Potion of Vitality	triple
Ul'dah	Alchemist	45	Quit Your Jib-jab	33573	454	Town			3	Gold Needle	
Ul'dah	Alchemist	45	Sleepless in Silvertear	53280	481	Courier	Saint Coinach's Find	Mor Dhona	3	Potent Sleeping Potion	
Ul'dah	Alchemist	45	Not Taking No for an Answer	39087	401	Field	Saint Coinach's Find	Mor Dhona	5	Mega-Potion of Strength	triple
Ul'dah	Alchemist	45	Make Up Your Mind or Else	34552	403	Field	Saint Coinach's Find	Mor Dhona	3	Potent Poisoning Potion	
